user,1,2,3,4,5,6,7,8,9,10,11
11,"55,5102539","25,9267387","43,3067551","21,7385139","59,44701","26,2081432","67,30692","35,0646629","77,24824","51,50142","109,480377"
46,"75,10359","25,5035915","45,82513","27,5150871","57,3907967","43,27876","80,22667","49,0630951","77,4653244","67,39507","195,171738"
53,"60,0052338","22,1461926","47,59343","23,153183","45,07269","23,964426","78,5239944","23,1592083","68,6096039","51,9143","98,74585"
57,"68,7839355","19,2580471","70,42182","22,4548149","55,6496468","22,7139664","47,8199","22,630621","52,97147","67,9221649","159,580246"
63,"88,22266","37,3202324","89,83807","29,175478","68,78365","42,4166565","89,76645","57,34198","85,4206161","72,7805","176,28363"
70,"71,17533","34,22513","58,87308","32,6611671","54,3002625","41,3501549","76,65179","42,1862144","69,13377","182,807785","132,808136"
75,"54,8920822","21,898016","80,4356","29,2288246","57,8641319","35,29148","51,746727","32,1427422","78,79352","69,05709","177,233246"
79,"79,7839","37,93292","108,89817","37,41594","78,50033","55,3584","116,210693","57,3888741","131,130264","115,43325","276,286224"
